reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Nail discolouration,6,0.23,0.23,0.103,0.516,14.09,False
Rash,825,0.229,0.228,0.212,0.244,1957.55,False
Sensitive skin,26,0.229,0.229,0.155,0.337,61.72,False
Nocturia,34,0.229,0.229,0.163,0.322,80.36,False
Sepsis,186,0.228,0.228,0.197,0.263,444.17,False
Product prescribing error,83,0.228,0.228,0.184,0.283,197.9,False
Stoma site erythema,4,0.228,0.228,0.085,0.612,9.55,False
Wound infection,54,0.228,0.228,0.174,0.298,128.79,False
Nasal obstruction,7,0.228,0.228,0.108,0.481,16.73,False
Asthenopia,10,0.224,0.224,0.12,0.419,24.52,False
Vein disorder,8,0.222,0.222,0.11,0.447,19.91,False
Cervix carcinoma,4,0.222,0.222,0.083,0.597,9.96,False
Haematocrit increased,7,0.221,0.221,0.105,0.467,17.54,False
Injection site swelling,142,0.221,0.221,0.187,0.261,356.01,False
Eye irritation,110,0.22,0.22,0.182,0.265,277.85,False
Blood testosterone increased,3,0.219,0.219,0.07,0.684,7.65,False
Drug tolerance,9,0.219,0.219,0.113,0.423,22.89,False
Injection site rash,54,0.218,0.218,0.166,0.285,138.54,False
Muscle disorder,9,0.217,0.217,0.112,0.419,23.23,False
Transitional cell carcinoma,3,0.217,0.217,0.069,0.681,7.72,False
Product dispensing issue,17,0.217,0.217,0.134,0.351,43.81,False
Scoliosis,10,0.217,0.217,0.116,0.406,25.73,False
Pharyngeal disorder,4,0.217,0.217,0.081,0.584,10.29,False
Lacrimation increased,61,0.217,0.217,0.168,0.279,157.83,False
Musculoskeletal disorder,21,0.216,0.216,0.141,0.333,54.44,False
Dyspareunia,6,0.216,0.216,0.097,0.484,15.57,False
Spinal cord disorder,3,0.215,0.215,0.069,0.673,7.85,False
Device related infection,26,0.215,0.215,0.146,0.317,67.91,False
Rhinovirus infection,20,0.214,0.214,0.138,0.333,52.61,False
Pneumonia aspiration,39,0.214,0.214,0.156,0.293,102.98,False
Blood creatine phosphokinase increased,34,0.214,0.214,0.153,0.301,89.58,False
Adrenal insufficiency,35,0.214,0.214,0.154,0.299,92.01,False
Haemolytic anaemia,10,0.214,0.214,0.114,0.399,26.47,False
Irritability,76,0.214,0.214,0.17,0.268,200.75,False
Peripheral arterial occlusive disease,6,0.214,0.214,0.096,0.48,15.78,False
Kidney transplant rejection,5,0.214,0.214,0.088,0.518,13.2,False
Mouth swelling,10,0.213,0.213,0.114,0.398,26.54,False
Hypersensitivity,276,0.213,0.213,0.189,0.24,732.65,False
Adenovirus infection,8,0.211,0.211,0.105,0.425,21.53,False
Seizure,277,0.21,0.21,0.186,0.236,751.72,False
Injection site mass,64,0.21,0.21,0.164,0.269,173.93,False
Skin exfoliation,135,0.209,0.209,0.176,0.248,368.92,False
White blood cell disorder,5,0.208,0.208,0.086,0.503,13.81,False
Motor dysfunction,17,0.207,0.207,0.128,0.335,47.12,False
Neutrophil count increased,16,0.207,0.207,0.126,0.34,44.35,False
Diplopia,39,0.206,0.206,0.15,0.282,109.34,False
Swelling,180,0.205,0.205,0.177,0.237,507.18,False
Conjunctival haemorrhage,4,0.205,0.205,0.076,0.549,11.31,False
Gait inability,103,0.204,0.204,0.168,0.247,293.17,False
Pulmonary fibrosis,50,0.204,0.204,0.155,0.27,141.57,False
HIV infection,3,0.204,0.204,0.065,0.638,8.53,False
Hypokalaemia,74,0.203,0.203,0.161,0.255,212.13,False
Neoplasm,19,0.203,0.203,0.129,0.32,54.3,False
Attention deficit hyperactivity disorder,14,0.202,0.202,0.119,0.342,40.35,False
Tendon rupture,14,0.202,0.202,0.119,0.342,40.35,False
Incorrect dose administered,603,0.201,0.2,0.185,0.217,1752.16,False
Underweight,6,0.201,0.201,0.09,0.451,17.4,False
Skin disorder,53,0.2,0.2,0.152,0.262,155.27,False
Eye pruritus,76,0.199,0.198,0.158,0.249,224.89,False
Eating disorder,41,0.197,0.197,0.145,0.268,122.71,False
Eczema,206,0.197,0.197,0.172,0.226,615.23,False
Autism spectrum disorder,28,0.196,0.196,0.135,0.284,84.72,False
Ataxia,12,0.195,0.195,0.111,0.346,36.37,False
Product prescribing issue,92,0.195,0.195,0.159,0.24,279.03,False
Taste disorder,70,0.194,0.194,0.153,0.246,214.36,False
Systemic lupus erythematosus,112,0.193,0.193,0.16,0.232,345.78,False
Device defective,80,0.193,0.193,0.155,0.241,247.09,False
Skin striae,3,0.193,0.193,0.062,0.603,9.28,False
Pain of skin,29,0.193,0.193,0.133,0.278,89.82,False
Compression fracture,17,0.193,0.193,0.119,0.311,52.56,False
Red blood cell sedimentation rate increased,23,0.192,0.192,0.127,0.289,71.8,False
Hepatic neoplasm,4,0.192,0.192,0.071,0.515,12.46,False
Metastases to liver,28,0.19,0.19,0.131,0.276,88.61,False
Aortic dilatation,4,0.189,0.189,0.07,0.507,12.74,False
Peroneal nerve palsy,7,0.189,0.189,0.09,0.4,22.22,False
Food aversion,4,0.189,0.189,0.07,0.507,12.74,False
Scratch,27,0.189,0.189,0.129,0.276,86.25,False
Incorrect dose administered by product,4,0.188,0.188,0.07,0.506,12.81,False
Skin plaque,9,0.188,0.188,0.097,0.363,28.93,False
Follicular lymphoma,3,0.186,0.186,0.06,0.583,9.76,False
Anosmia,20,0.186,0.186,0.12,0.289,65.26,False
Pulpitis dental,3,0.185,0.185,0.059,0.577,9.89,False
Scleroderma,4,0.185,0.185,0.069,0.496,13.15,False
Delirium,54,0.183,0.182,0.139,0.239,181.05,False
Cushing's syndrome,5,0.183,0.183,0.076,0.443,16.67,False
Suicidal ideation,93,0.183,0.182,0.149,0.224,311.6,False
Activities of daily living decreased,4,0.183,0.183,0.068,0.491,13.35,False
Infusion related reaction,171,0.182,0.182,0.157,0.212,574.27,False
Hair growth abnormal,8,0.182,0.182,0.091,0.367,26.84,False
Hypercholesterolaemia,32,0.182,0.182,0.129,0.259,107.37,False
Blindness,58,0.182,0.182,0.14,0.236,195.5,False
Blood prolactin increased,4,0.181,0.181,0.068,0.486,13.56,False
Spinal pain,19,0.179,0.179,0.114,0.282,65.36,False
Catheter site infection,7,0.177,0.177,0.084,0.374,24.48,False
Bone disorder,16,0.177,0.177,0.108,0.29,56.09,False
Allergic reaction to excipient,4,0.176,0.176,0.066,0.473,14.11,False
Rales,11,0.174,0.174,0.096,0.315,39.69,False
Fracture,21,0.173,0.172,0.112,0.265,76.4,False
Iridocyclitis,5,0.173,0.173,0.072,0.419,18.05,False
B-cell lymphoma,3,0.173,0.173,0.055,0.541,10.86,False
Patient dissatisfaction with treatment,11,0.172,0.172,0.095,0.312,40.24,False
Cerebral infarction,23,0.172,0.172,0.114,0.26,83.8,False
Incorrect dosage administered,8,0.172,0.172,0.086,0.346,29.18,False
Terminal insomnia,4,0.171,0.171,0.064,0.457,14.8,False
Cardiac failure,90,0.171,0.171,0.139,0.211,330.55,False
Tension,6,0.17,0.17,0.076,0.381,22.26,False
Walking aid user,17,0.17,0.17,0.106,0.275,62.98,False
Dyslipidaemia,7,0.17,0.17,0.081,0.359,25.93,False
Cerebral disorder,12,0.17,0.17,0.096,0.301,44.52,False
Scab,15,0.169,0.169,0.102,0.282,56.07,False
Infusion site injury,4,0.169,0.169,0.063,0.453,15.0,False
Breast cancer metastatic,13,0.168,0.168,0.097,0.29,49.08,False
Dry mouth,111,0.168,0.168,0.139,0.202,419.55,False
Hepatitis,31,0.167,0.167,0.117,0.238,118.14,False
Muscle tightness,16,0.166,0.166,0.101,0.272,61.52,False
Foreign body in throat,9,0.165,0.165,0.086,0.319,34.84,False
Complication associated with device,24,0.165,0.165,0.11,0.246,93.25,False
Wound,65,0.165,0.165,0.129,0.21,252.72,False
Fine motor skill dysfunction,5,0.165,0.165,0.068,0.399,19.36,False
Blister,88,0.164,0.164,0.133,0.202,343.76,False
Miosis,10,0.164,0.164,0.088,0.305,39.19,False
Conjunctival hyperaemia,4,0.164,0.164,0.061,0.439,15.69,False
Feeling jittery,17,0.164,0.164,0.102,0.264,66.5,False
Blepharitis,6,0.163,0.163,0.073,0.364,23.71,False
Hydronephrosis,9,0.162,0.162,0.084,0.312,35.88,False
Cytomegalovirus infection,20,0.16,0.16,0.103,0.249,80.94,False
Oedema,86,0.158,0.158,0.127,0.195,355.02,False
Dermatitis contact,38,0.158,0.158,0.115,0.217,156.84,False
Macular oedema,6,0.156,0.156,0.07,0.349,25.09,False
Seborrhoeic dermatitis,3,0.156,0.156,0.05,0.487,12.58,False
Injection site scar,4,0.155,0.155,0.058,0.416,16.87,False
Lymphopenia,15,0.155,0.155,0.093,0.257,63.6,False
Oliguria,5,0.154,0.154,0.064,0.372,21.36,False
Muscle twitching,21,0.153,0.153,0.099,0.235,90.49,False
Photophobia,25,0.153,0.153,0.103,0.226,108.05,False
Product preparation issue,12,0.152,0.152,0.086,0.268,52.19,False
Liquid product physical issue,23,0.152,0.152,0.101,0.229,100.17,False
Chronic kidney disease,42,0.152,0.152,0.112,0.206,182.09,False
Temperature intolerance,13,0.152,0.152,0.088,0.262,56.55,False
Nephritis,4,0.152,0.152,0.057,0.406,17.42,False
Agitation,63,0.151,0.151,0.118,0.193,276.05,False
Hypoalbuminaemia,12,0.151,0.151,0.085,0.266,52.82,False
Haemoglobin increased,12,0.15,0.15,0.085,0.265,53.03,False
Chapped lips,4,0.15,0.15,0.056,0.402,17.7,False
Lichenoid keratosis,3,0.149,0.149,0.048,0.464,13.41,False
Injection site vesicles,8,0.148,0.148,0.074,0.298,35.95,False
End stage renal disease,9,0.148,0.148,0.077,0.285,40.65,False
Anxiety disorder,3,0.147,0.147,0.047,0.457,13.69,False
Libido decreased,10,0.147,0.147,0.079,0.275,45.36,False
Hypovolaemia,5,0.147,0.147,0.061,0.355,22.75,False
Pleurisy,5,0.146,0.146,0.06,0.352,23.03,False
Arteriosclerosis,9,0.146,0.146,0.076,0.282,41.21,False
Paralysis,12,0.145,0.145,0.082,0.256,55.46,False
Eosinophil count decreased,8,0.144,0.144,0.072,0.289,37.41,False
Apathy,16,0.144,0.144,0.088,0.236,74.54,False
Seasonal allergy,55,0.144,0.144,0.111,0.188,256.27,False
Metabolic disorder,5,0.144,0.144,0.06,0.347,23.44,False
Eyelid ptosis,11,0.144,0.144,0.079,0.26,51.52,False
Crying,32,0.143,0.143,0.101,0.203,150.83,False
Skin fissures,35,0.143,0.143,0.102,0.199,165.63,False
Gastrointestinal stoma output abnormal,5,0.143,0.143,0.059,0.345,23.58,False
Device connection issue,6,0.142,0.142,0.064,0.318,28.56,False
Subdural haematoma,9,0.142,0.142,0.074,0.274,42.74,False
Gastric haemorrhage,8,0.142,0.142,0.071,0.286,37.97,False
Post-acute COVID-19 syndrome,8,0.142,0.142,0.071,0.286,37.97,False
Device issue,146,0.142,0.142,0.121,0.167,694.84,False
Recurrent cancer,5,0.142,0.142,0.059,0.342,23.86,False
Fluid retention,61,0.141,0.141,0.109,0.181,294.3,False
Dysstasia,24,0.141,0.141,0.094,0.211,115.5,False
Product contamination physical,5,0.141,0.141,0.059,0.342,23.93,False
Middle insomnia,22,0.141,0.141,0.092,0.214,105.96,False
Hair texture abnormal,5,0.14,0.14,0.058,0.339,24.21,False
Product storage error,143,0.14,0.14,0.119,0.165,692.98,False
Product supply issue,17,0.139,0.139,0.086,0.224,83.21,False
Hypothermia,9,0.138,0.138,0.071,0.266,44.62,False
C-reactive protein increased,52,0.138,0.137,0.105,0.181,258.52,False
Skeletal injury,3,0.137,0.137,0.044,0.427,15.01,False
Drug delivery system malfunction,6,0.137,0.137,0.061,0.306,30.02,False
Hodgkin's disease,3,0.137,0.137,0.044,0.427,15.01,False
Product label issue,8,0.136,0.136,0.068,0.272,40.54,False
Troponin increased,12,0.136,0.136,0.077,0.24,60.47,False
Rash vesicular,7,0.136,0.136,0.065,0.287,35.21,False
White blood cell count decreased,115,0.136,0.135,0.113,0.163,582.0,False
Cardiac arrest,55,0.136,0.136,0.105,0.178,276.39,False
Infusion site rash,7,0.135,0.135,0.064,0.284,35.63,False
Giant cell arteritis,3,0.135,0.135,0.043,0.422,15.22,False
Chronic myeloid leukaemia,5,0.135,0.135,0.056,0.327,25.39,False
Lung adenocarcinoma,3,0.135,0.135,0.043,0.421,15.29,False
Parainfluenzae virus infection,3,0.134,0.134,0.043,0.419,15.36,False
Hyperventilation,4,0.134,0.134,0.05,0.359,20.55,False
Wound secretion,3,0.133,0.133,0.043,0.415,15.57,False
Injection site indentation,3,0.132,0.132,0.042,0.412,15.71,False
Haemorrhage intracranial,6,0.132,0.132,0.059,0.295,31.49,False
Exostosis,15,0.132,0.132,0.079,0.22,78.55,False
Affective disorder,11,0.132,0.132,0.073,0.239,57.65,False
Schizophrenia,15,0.131,0.131,0.079,0.217,79.67,False
Thyroiditis,4,0.131,0.131,0.049,0.352,21.11,False
C-reactive protein abnormal,18,0.131,0.131,0.082,0.208,95.37,False
Wheezing,100,0.131,0.131,0.107,0.159,531.71,False
Injection site infection,3,0.13,0.13,0.042,0.404,16.13,False
Sinus bradycardia,6,0.13,0.13,0.058,0.292,31.98,False
Anaphylactic shock,23,0.13,0.13,0.086,0.196,123.0,False
Diffuse large B-cell lymphoma,10,0.13,0.13,0.07,0.243,53.37,False
Injection site bruising,88,0.13,0.13,0.105,0.16,471.66,False
Alcohol poisoning,3,0.129,0.129,0.041,0.403,16.2,False
Ileus,17,0.129,0.129,0.08,0.209,91.51,False
Tooth loss,17,0.128,0.128,0.079,0.207,92.77,False
Feeling of despair,5,0.128,0.128,0.053,0.31,27.21,False
Enterocolitis,8,0.128,0.128,0.064,0.257,43.75,False
Ejection fraction decreased,12,0.127,0.127,0.072,0.225,65.91,False
Rhinitis allergic,6,0.127,0.127,0.057,0.284,33.1,False
Neuropathy peripheral,117,0.127,0.127,0.106,0.152,647.25,False
BK virus infection,5,0.127,0.127,0.053,0.307,27.49,False
Hyperglycaemia,26,0.126,0.126,0.085,0.185,145.56,False
Vitreous floaters,11,0.126,0.126,0.07,0.228,61.35,False
Drug intolerance,105,0.124,0.124,0.102,0.15,596.44,False
Psychotic disorder,23,0.124,0.124,0.083,0.188,130.34,False
Heart rate abnormal,16,0.123,0.123,0.075,0.2,92.47,False
Lipase increased,6,0.123,0.123,0.055,0.274,34.63,False
Polydipsia,4,0.122,0.122,0.046,0.328,23.14,False
Staphylococcal bacteraemia,5,0.121,0.121,0.05,0.293,29.23,False
Injection site haemorrhage,70,0.121,0.121,0.096,0.153,410.13,False
Behaviour disorder,11,0.12,0.12,0.066,0.217,65.48,False
Adjustment disorder with depressed mood,9,0.119,0.119,0.062,0.229,54.12,False
Tendon disorder,6,0.119,0.119,0.053,0.266,36.03,False
Injection site irritation,11,0.119,0.119,0.066,0.216,65.69,False
Tachypnoea,11,0.119,0.119,0.066,0.215,66.18,False
Restlessness,28,0.119,0.119,0.082,0.173,167.69,False
Bruxism,4,0.118,0.118,0.044,0.316,24.26,False
Multiple fractures,9,0.118,0.118,0.061,0.227,54.68,False
Skin burning sensation,44,0.118,0.118,0.088,0.159,266.54,False
Orthostatic hypotension,12,0.118,0.118,0.067,0.208,72.91,False
Aneurysm,4,0.118,0.118,0.044,0.317,24.19,False
Tubulointerstitial nephritis,14,0.117,0.117,0.069,0.198,85.95,False
Gastrointestinal perforation,3,0.116,0.116,0.037,0.362,18.58,False
Plantar fasciitis,3,0.116,0.116,0.037,0.362,18.58,False
Device use error,29,0.115,0.115,0.08,0.166,181.22,False
Diabetic ketoacidosis,16,0.114,0.114,0.07,0.186,101.65,False
Infusion site mass,8,0.114,0.114,0.057,0.228,50.9,False
Mental impairment,18,0.114,0.114,0.072,0.181,114.06,False
Bacterial sepsis,3,0.113,0.113,0.036,0.351,19.28,False
Atrial septal defect,3,0.113,0.113,0.036,0.353,19.14,False
Mouth haemorrhage,10,0.112,0.112,0.06,0.208,64.92,False
Blood triglycerides increased,11,0.111,0.111,0.061,0.2,72.35,False
Autoimmune hepatitis,6,0.11,0.11,0.049,0.246,39.75,False
Blood urea increased,10,0.109,0.109,0.059,0.204,66.88,False
Disease recurrence,31,0.109,0.109,0.077,0.155,207.59,False
Breast cancer recurrent,3,0.108,0.108,0.035,0.336,20.4,False
Epilepsy,36,0.108,0.108,0.078,0.15,244.76,False
Immune-mediated adverse reaction,3,0.108,0.108,0.035,0.338,20.26,False
Thrombocytosis,3,0.106,0.106,0.034,0.33,20.82,False
Death,509,0.106,0.105,0.096,0.114,3551.46,False
Proteinuria,17,0.106,0.106,0.066,0.171,117.86,False
Obstructive sleep apnoea syndrome,4,0.104,0.104,0.039,0.278,28.47,False
Administration site pain,3,0.104,0.104,0.033,0.322,21.46,False
Sedation,30,0.103,0.103,0.072,0.147,216.75,False
Infusion site urticaria,3,0.102,0.102,0.033,0.317,21.88,False
Pancreatic cyst,3,0.102,0.102,0.033,0.319,21.74,False
Platelet count decreased,83,0.101,0.101,0.081,0.125,610.66,False
Tearfulness,3,0.101,0.101,0.033,0.316,22.02,False
Multiple sclerosis relapse,24,0.101,0.101,0.067,0.151,177.28,False
Renal function test abnormal,6,0.1,0.1,0.045,0.223,44.88,False
Dysarthria,21,0.099,0.099,0.064,0.152,159.06,False
Coma,25,0.098,0.098,0.066,0.145,191.47,False
Metastases to central nervous system,13,0.098,0.098,0.057,0.169,99.59,False
Acute kidney injury,106,0.098,0.098,0.081,0.119,806.69,False
Acute myocardial infarction,12,0.098,0.098,0.056,0.173,91.53,False
Hyperphagia,5,0.097,0.097,0.04,0.234,38.65,False
Blood lactic acid increased,4,0.096,0.096,0.036,0.258,31.21,False
Cardio-respiratory arrest,14,0.096,0.096,0.057,0.163,109.35,False
Product use complaint,26,0.095,0.095,0.065,0.14,206.72,False
Hypoxia,30,0.095,0.095,0.066,0.136,238.85,False
Vitiligo,3,0.095,0.095,0.031,0.296,23.85,False
Dystonia,7,0.095,0.095,0.045,0.2,55.56,False
Infusion site reaction,11,0.094,0.094,0.052,0.171,88.25,False
Hypomagnesaemia,12,0.093,0.093,0.053,0.164,97.87,False
Retinal haemorrhage,4,0.093,0.093,0.035,0.249,32.55,False
Inability to afford medication,15,0.093,0.093,0.056,0.155,122.0,False
Visual acuity reduced,7,0.092,0.092,0.044,0.193,58.02,False
Suicide attempt,32,0.092,0.092,0.065,0.131,263.37,False
Organising pneumonia,4,0.092,0.092,0.034,0.246,32.97,False
Finger deformity,6,0.09,0.09,0.04,0.201,50.87,False
Folliculitis,22,0.09,0.09,0.059,0.136,187.28,False
Wrong product administered,6,0.09,0.09,0.04,0.2,51.08,False
Squamous cell carcinoma,6,0.089,0.089,0.04,0.199,51.58,False
Foetal growth restriction,4,0.089,0.089,0.033,0.238,34.31,False
Post transplant lymphoproliferative disorder,4,0.088,0.088,0.033,0.236,34.81,False
Infusion site pruritus,16,0.088,0.088,0.054,0.144,139.66,False
Foot operation,4,0.087,0.087,0.032,0.232,35.44,False
Medication error,32,0.087,0.087,0.062,0.124,281.57,False
Therapeutic product effect incomplete,67,0.086,0.086,0.068,0.11,596.95,False
Asphyxia,5,0.085,0.085,0.035,0.204,45.56,False
Mitral valve incompetence,10,0.084,0.084,0.045,0.156,92.6,False
Polyarthritis,5,0.083,0.083,0.034,0.2,46.69,False
Aggression,23,0.083,0.083,0.055,0.125,214.06,False
Drug dependence,27,0.082,0.082,0.056,0.12,256.07,False
Onychomadesis,7,0.082,0.082,0.039,0.173,66.28,False
Infusion site erythema,31,0.081,0.081,0.057,0.115,298.01,False
Neutrophilia,4,0.08,0.08,0.03,0.213,39.33,False
Intentional self-injury,9,0.08,0.08,0.042,0.155,87.36,False
Product colour issue,5,0.08,0.08,0.033,0.193,48.67,False
Increased appetite,17,0.079,0.079,0.049,0.128,167.99,False
Central nervous system lesion,4,0.078,0.078,0.029,0.207,40.46,False
Immunodeficiency,15,0.078,0.078,0.047,0.129,151.86,False
Blood glucose fluctuation,4,0.077,0.077,0.029,0.206,40.74,False
Type 1 diabetes mellitus,4,0.077,0.077,0.029,0.206,40.74,False
Injection site nodule,4,0.076,0.076,0.028,0.202,41.66,False
Atrioventricular block,4,0.076,0.076,0.028,0.203,41.45,False
Product container issue,9,0.076,0.076,0.039,0.146,93.86,False
Progressive multifocal leukoencephalopathy,4,0.075,0.075,0.028,0.2,42.3,False
Psoriatic arthropathy,42,0.075,0.075,0.056,0.102,440.24,False
Hemiplegia,4,0.074,0.074,0.028,0.197,43.08,False
Premature delivery,6,0.074,0.074,0.033,0.165,64.15,False
Full blood count decreased,15,0.073,0.073,0.044,0.12,164.24,False
Haemorrhagic stroke,3,0.073,0.073,0.024,0.228,32.54,False
White blood cell count abnormal,4,0.073,0.073,0.027,0.195,43.43,False
Dermatitis allergic,9,0.071,0.071,0.037,0.137,100.87,False
Hypertransaminasaemia,7,0.071,0.071,0.034,0.149,78.44,False
Wrong technique in product usage process,121,0.071,0.07,0.059,0.084,1365.11,False
Acute generalised exanthematous pustulosis,3,0.07,0.07,0.022,0.217,34.45,False
Device dislocation,17,0.069,0.069,0.043,0.112,195.8,False
Therapeutic response shortened,45,0.069,0.069,0.051,0.092,523.73,False
Mood swings,11,0.068,0.068,0.038,0.123,129.17,False
Abnormal behaviour,10,0.068,0.068,0.037,0.127,117.21,False
Aspartate aminotransferase increased,22,0.067,0.067,0.044,0.102,264.99,False
Polyuria,4,0.066,0.066,0.025,0.176,48.88,False
Psychiatric symptom,3,0.066,0.066,0.021,0.205,36.64,False
Product contamination,3,0.065,0.065,0.021,0.203,37.14,False
Glycosylated haemoglobin increased,12,0.065,0.065,0.037,0.114,149.34,False
Premature baby,8,0.065,0.065,0.033,0.13,99.18,False
Odynophagia,3,0.064,0.064,0.02,0.198,38.2,False
Nephropathy toxic,6,0.064,0.064,0.029,0.142,76.19,False
Hyponatraemia,21,0.063,0.063,0.041,0.096,271.46,False
Leukocytosis,9,0.062,0.062,0.032,0.12,117.44,False
Rash maculo-papular,10,0.062,0.062,0.033,0.115,131.24,False
Ischaemic stroke,6,0.062,0.062,0.028,0.139,78.11,False
Product use issue,137,0.062,0.061,0.052,0.073,1811.4,False
Dependence,3,0.062,0.062,0.02,0.194,39.12,False
Hypokinesia,6,0.061,0.061,0.028,0.137,79.45,False
SARS-CoV-2 test positive,5,0.06,0.06,0.025,0.144,68.42,False
Obesity,12,0.059,0.059,0.034,0.105,165.28,False
Hunger,11,0.059,0.059,0.033,0.106,152.91,False
Palmar-plantar erythrodysaesthesia syndrome,9,0.058,0.058,0.03,0.111,127.51,False
Electrocardiogram QT prolonged,14,0.058,0.058,0.034,0.098,197.91,False
Incorrect product administration duration,14,0.058,0.058,0.035,0.099,196.21,False
Shoulder operation,3,0.058,0.058,0.019,0.179,42.74,False
Anuria,3,0.057,0.057,0.018,0.178,42.95,False
Shock,8,0.057,0.057,0.029,0.114,115.2,False
Pathogen resistance,4,0.057,0.057,0.021,0.151,58.17,False
Erectile dysfunction,10,0.057,0.057,0.031,0.106,144.14,False
No adverse event,82,0.057,0.057,0.046,0.071,1173.15,False
Product administered to patient of inappropriate age,4,0.056,0.056,0.021,0.15,58.74,False
Dissociation,10,0.056,0.056,0.03,0.104,147.69,False
Brain injury,4,0.055,0.055,0.021,0.148,59.73,False
Initial insomnia,5,0.055,0.055,0.023,0.133,74.87,False
Interstitial lung disease,21,0.054,0.054,0.035,0.082,324.36,False
Device use issue,16,0.053,0.053,0.033,0.087,248.85,False
Device failure,5,0.053,0.053,0.022,0.127,78.78,False
Full blood count abnormal,9,0.053,0.053,0.027,0.101,142.12,False
Ventricular fibrillation,3,0.053,0.053,0.017,0.164,47.07,False
Psychomotor hyperactivity,5,0.053,0.053,0.022,0.128,78.0,False
Anaphylactic reaction,23,0.053,0.053,0.035,0.079,363.45,False
Meningitis,3,0.051,0.051,0.017,0.16,48.63,False
Injection site discolouration,5,0.051,0.051,0.021,0.123,81.33,False
Acute myeloid leukaemia,5,0.05,0.05,0.021,0.121,82.68,False
Blepharospasm,6,0.05,0.05,0.022,0.11,101.3,False
Neoplasm progression,7,0.05,0.05,0.024,0.106,115.95,False
Foetal exposure during pregnancy,25,0.05,0.05,0.034,0.074,417.52,False
Hypercalcaemia,4,0.049,0.049,0.018,0.13,68.6,False
Acute respiratory failure,7,0.048,0.048,0.023,0.101,121.7,False
Aspiration,5,0.047,0.047,0.02,0.114,88.79,False
Paronychia,3,0.047,0.047,0.015,0.145,54.17,False
Drug-induced liver injury,18,0.046,0.046,0.029,0.073,331.67,False
Substance use disorder,4,0.046,0.046,0.017,0.123,73.22,False
Nodule,5,0.046,0.046,0.019,0.11,92.55,False
Encephalopathy,6,0.046,0.046,0.02,0.102,111.03,False
Nail disorder,6,0.046,0.046,0.02,0.101,111.1,False
Paranoia,4,0.044,0.044,0.017,0.119,76.13,False
Haemarthrosis,18,0.044,0.044,0.028,0.07,343.04,False
Myositis,4,0.043,0.043,0.016,0.116,77.97,False
Rhabdomyolysis,10,0.042,0.042,0.023,0.079,200.09,False
Posterior reversible encephalopathy syndrome,3,0.042,0.042,0.014,0.132,60.06,False
Joint range of motion decreased,9,0.042,0.042,0.022,0.08,182.96,False
Respiratory failure,18,0.041,0.041,0.026,0.065,374.51,False
Facial paralysis,3,0.04,0.04,0.013,0.125,63.33,False
Plasma cell myeloma,9,0.04,0.04,0.021,0.077,190.91,False
Inappropriate antidiuretic hormone secretion,3,0.04,0.04,0.013,0.124,64.18,False
Nasal polyps,5,0.039,0.039,0.016,0.095,108.61,False
Mucosal inflammation,7,0.038,0.038,0.018,0.079,159.85,False
Bone density decreased,6,0.037,0.037,0.016,0.081,141.23,False
Blood lactate dehydrogenase increased,3,0.037,0.037,0.012,0.113,70.65,False
Respiratory distress,6,0.036,0.036,0.016,0.079,145.14,False
Product physical issue,7,0.036,0.036,0.017,0.075,167.88,False
Generalised tonic-clonic seizure,6,0.035,0.035,0.016,0.078,148.77,False
Accidental overdose,11,0.035,0.035,0.019,0.063,271.3,False
Drug interaction,31,0.035,0.034,0.024,0.049,775.53,False
Product packaging issue,3,0.035,0.035,0.011,0.109,73.78,False
Pulmonary hypertension,5,0.035,0.035,0.015,0.084,123.18,False
Hemiparesis,3,0.034,0.034,0.011,0.105,76.62,False
Nightmare,6,0.033,0.033,0.015,0.073,159.5,False
Condition aggravated,111,0.033,0.033,0.028,0.04,2878.12,False
Product dose omission in error,26,0.032,0.032,0.022,0.047,712.65,False
Needle issue,16,0.032,0.032,0.02,0.053,429.46,False
Device difficult to use,15,0.032,0.032,0.019,0.053,410.28,False
Skin haemorrhage,5,0.031,0.031,0.013,0.074,141.52,False
Depressed level of consciousness,7,0.031,0.031,0.015,0.066,193.55,False
Product quality issue,13,0.029,0.029,0.017,0.049,397.57,False
Myasthenia gravis,5,0.029,0.029,0.012,0.07,149.42,False
Product leakage,3,0.029,0.029,0.009,0.09,90.85,False
Glossodynia,8,0.029,0.029,0.014,0.058,242.11,False
Intermenstrual bleeding,3,0.029,0.029,0.009,0.088,92.05,False
Expired product administered,6,0.028,0.028,0.012,0.062,189.44,False
Delusion,3,0.028,0.028,0.009,0.088,92.91,False
Wrong technique in device usage process,18,0.028,0.028,0.018,0.045,560.72,False
Thrombocytopenia,23,0.028,0.028,0.019,0.043,707.86,False
Haematoma,5,0.027,0.027,0.011,0.066,160.16,False
Mental status changes,4,0.026,0.026,0.01,0.069,136.71,False
Spinal operation,4,0.026,0.026,0.01,0.07,133.65,False
Cholestasis,3,0.025,0.025,0.008,0.077,107.06,False
Extra dose administered,16,0.025,0.025,0.015,0.04,571.22,False
Device breakage,15,0.023,0.023,0.014,0.039,570.89,False
Maternal exposure during pregnancy,21,0.022,0.022,0.014,0.034,849.84,False
Serotonin syndrome,3,0.021,0.021,0.007,0.064,129.76,False
